Obtido IP do servidor.
Aberto um novo socket.
Iniciando envio de pacotes...
Iniciando recebimento de pacotes...
Enviado pacote # 576.
Enviado pacote # 577.
Enviado pacote # 578.
Enviado pacote # 579.
Enviado pacote # 580.
Enviado pacote # 581.
Enviado pacote # 582.
Enviado pacote # 583.
Enviado pacote # 584.
Enviado pacote # 585.
Enviado pacote # 586.
Enviado pacote # 587.
Enviado pacote # 588.
Enviado pacote # 589.
Enviado pacote # 590.
Enviado pacote # 591.
Enviado pacote # 592.
Enviado pacote # 593.
Enviado pacote # 594.
Enviado pacote # 595.
Enviado pacote # 596.
Enviado pacote # 597.
Enviado pacote # 598.
Enviado pacote # 599.
Enviado pacote # 600.
Enviado pacote # 601.
Enviado pacote # 602.
Enviado pacote # 603.
Enviado pacote # 604.
Enviado pacote # 605.
Enviado pacote # 606.
Enviado pacote # 607.
Enviado pacote # 608.
Enviado pacote # 609.
Enviado pacote # 610.
Enviado pacote # 611.
Enviado pacote # 612.
Enviado pacote # 613.
Enviado pacote # 614.
Enviado pacote # 615.
Enviado pacote # 616.
Enviado pacote # 617.
Enviado pacote # 618.
Enviado pacote # 619.
Enviado pacote # 620.
Enviado pacote # 621.
Enviado pacote # 622.
Enviado pacote # 623.
Enviado pacote # 624.
Enviado pacote # 625.
Enviado pacote # 626.
Enviado pacote # 627.
Enviado pacote # 628.
Enviado pacote # 629.
Enviado pacote # 630.
Enviado pacote # 631.
Enviado pacote # 632.
Enviado pacote # 633.
Enviado pacote # 634.
Enviado pacote # 635.
Enviado pacote # 636.
Enviado pacote # 637.
Enviado pacote # 638.
Enviado pacote # 639.
Enviado pacote # 640.
Enviado pacote # 641.
Enviado pacote # 642.
Enviado pacote # 643.
Enviado pacote # 644.
Enviado pacote # 645.
Enviado pacote # 646.
Enviado pacote # 647.
Enviado pacote # 648.
Enviado pacote # 649.
Enviado pacote # 650.
Enviado pacote # 651.
Enviado pacote # 652.
Enviado pacote # 653.
Enviado pacote # 654.
Enviado pacote # 655.
Enviado pacote # 656.
Enviado pacote # 657.
Enviado pacote # 658.
Enviado pacote # 659.
Enviado pacote # 660.
Enviado pacote # 661.
Enviado pacote # 662.
Enviado pacote # 663.
Enviado pacote # 664.
Enviado pacote # 665.
Enviado pacote # 666.
Enviado pacote # 667.
Enviado pacote # 668.
Enviado pacote # 669.
Enviado pacote # 670.
